code,name,metric,sex,age,in,out,net,abs
01100,札幌市,both_total,総数,総数,1044,1506,-462,462
01100,札幌市,both_0_9,総数,0-9歳,60,89,-29,29
01100,札幌市,both_10_19,総数,10-19歳,122,146,-24,24
01100,札幌市,both_20_29,総数,20-29歳,461,664,-203,203
01100,札幌市,both_30_39,総数,30-39歳,202,257,-55,55
01100,札幌市,both_40_49,総数,40-49歳,76,141,-65,65
01100,札幌市,both_50_59,総数,50-59歳,74,102,-28,28
01100,札幌市,both_60_plus,総数,60歳以上,49,107,-58,58
01100,札幌市,both_unknown,総数,不詳/その他,0,0,0,0
01100,札幌市,male_total,男,総数,560,838,-278,278
01100,札幌市,male_0_9,男,0-9歳,26,46,-20,20
01100,札幌市,male_10_19,男,10-19歳,90,93,-3,3
01100,札幌市,male_20_29,男,20-29歳,222,348,-126,126
01100,札幌市,male_30_39,男,30-39歳,107,149,-42,42
01100,札幌市,male_40_49,男,40-49歳,52,84,-32,32
01100,札幌市,male_50_59,男,50-59歳,40,56,-16,16
01100,札幌市,male_60_plus,男,60歳以上,23,62,-39,39
01100,札幌市,male_unknown,男,不詳/その他,0,0,0,0
01100,札幌市,female_total,女,総数,484,668,-184,184
01100,札幌市,female_0_9,女,0-9歳,34,43,-9,9
01100,札幌市,female_10_19,女,10-19歳,32,53,-21,21
01100,札幌市,female_20_29,女,20-29歳,239,316,-77,77
01100,札幌市,female_30_39,女,30-39歳,95,108,-13,13
01100,札幌市,female_40_49,女,40-49歳,24,57,-33,33
01100,札幌市,female_50_59,女,50-59歳,34,46,-12,12
01100,札幌市,female_60_plus,女,60歳以上,26,45,-19,19
01100,札幌市,female_unknown,女,不詳/その他,0,0,0,0
13000,東京都,both_total,総数,総数,295,440,-145,145
13000,東京都,both_0_9,総数,0-9歳,14,29,-15,15
13000,東京都,both_10_19,総数,10-19歳,11,41,-30,30
13000,東京都,both_20_29,総数,20-29歳,115,214,-99,99
13000,東京都,both_30_39,総数,30-39歳,66,81,-15,15
13000,東京都,both_40_49,総数,40-49歳,51,37,14,14
